feature,importance
sttl,0.30091882
proto_bucket_tcp,0.18843481
ct_state_ttl,0.10051276
dttl,0.092349716
dload,0.045021255
proto_bucket_arp,0.044714246
ct_srv_dst,0.02100022
ct_dst_sport_ltm,0.016838936
state_CON,0.013427184
is_sm_ips_ports,0.013356074
sbytes,0.011705153
service_dns,0.011038343
proto_bucket_unas,0.009944622
proto_bucket_other,0.009312363
sload,0.008074238
smean,0.007374617
swin,0.00660137
ct_dst_src_ltm,0.006280641
service_http,0.0048363153
dbytes,0.0046254583
sloss,0.0043968726
service_ftp-data,0.0042791804
dloss,0.0042589083
tcprtt,0.004107
proto_bucket_udp,0.0039898832
ct_srv_src,0.003727082
dmean,0.003693241
rate,0.0036080342
dpkts,0.0034915206
trans_depth,0.0032462052
ct_flw_http_mthd,0.0031910802
service_-,0.0029992044
spkts,0.002704045
ct_src_dport_ltm,0.0024764636
proto_bucket_ospf,0.0023180163
state_ECO,0.0022708871
state_INT,0.0022634517
proto_bucket_sctp,0.0021082438
synack,0.0019440358
service_ftp,0.0015982657
proto_bucket_sun-nd,0.0015240727
sinpkt,0.0014260138
response_body_len,0.0013626337
state_RST,0.0013575571
dinpkt,0.0013221451
djit,0.001173242
sjit,0.0011508815
service_dhcp,0.0011075719
ct_ftp_cmd,0.0010975251
ct_dst_ltm,0.0010941309
proto_bucket_swipe,0.0010755769
state_REQ,0.0010578942
dur,0.0009804418
ct_src_ltm,0.0009098037
service_smtp,0.00088713015
service_radius,0.0007554766
is_ftp_login,0.0006609738
ackdat,0.00063925964
dtcpb,0.000597721
stcpb,0.0005800349
state_FIN,0.00016590088
service_snmp,2.2828559e-05
service_pop3,1.24258895e-05
dwin,0.0
proto_bucket_any,0.0
proto_bucket_gre,0.0
service_irc,0.0
service_ssh,0.0
service_ssl,0.0
state_PAR,0.0
state_URN,0.0
state_no,0.0
